Species,Family,Clade,type_of_care,number_of_parents,care_duration,care_duration_in_males,care_in_males_binary,care_duration_in_females,care_in_females_binary,protection,protection_in_males,protection_in_females,nourishment_by_females,nourishment_by_females_binary,terrestrial_reproduction,direct_development,female_SVL_,male_SVL,average_male_female_SVL,SSD,Egg_diameter,Clutch_size,Clutch_volume
Agalychnis lemur,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,44.45,33.8,39.13,_0.12,3.311311215,33.5,290.74
Agalychnis litodryas,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Agalychnis moreletii,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,74.45,NA,NA,NA,3.630780548,72.5,758.22
Agalychnis psilopygion,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,4.265795188,NA,NA
Agalychnis saltator,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,55.88,43.3,49.59,_0.11,4.265795188,51.5,738.84
Agalychnis spurrelli,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,75.75,62,68.88,_0.09,3.89045145,55.5,645.78
Aglyptodactylus laticeps,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,60.4,NA,NA,NA,1.348962883,3458.5,4874.91
Aglyptodactylus madagascariensis,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,50.9,NA,NA,NA,1.380384265,2232.5,3313.34
Alexteroon obstetricans,Hyperoliidae,Afrobatrachia,female_only care ,1,1,0,0,1,1,2,0,2,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Allobates caeruleodactylus,Dendrobatidae,Agastorophrynia,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,16.3,15.5,15.9,_0.02,NA,NA,NA
Allobates chalcopis,Dendrobatidae,Agastorophrynia,male_only care ,1,1,1,1,0,0,NA,NA,0,0,0,NA,absent,17.25,17.4,17,0,NA,NA,NA
Allobates femoralis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,27.93,24.9,26.41,_0.05,1.819700859,32.5,84.97
Allobates juanii,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Allobates mandelorum,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Allobates marchesianus,Dendrobatidae,Agastorophrynia,either parent,1,2,2,1,2,1,3,3,3,0,0,NA,absent,NA,NA,NA,NA,1.737800829,NA,NA
Allobates mcdiarmidi,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Allobates nidicola,Dendrobatidae,Agastorophrynia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,absent,20.2,19.6,19.9,_0.01,2.398832919,4,18.09
Allobates olfersioides,Dendrobatidae,Agastorophrynia,either parent,1,2,2,1,2,1,3,3,3,0,0,NA,absent,NA,NA,NA,NA,1.513561248,8,14.13
Allobates talamancae,Dendrobatidae,Agastorophrynia,either parent,1,2,2,1,2,1,3,3,3,0,0,1,absent,24,22.7,23.35,_0.02,NA,18,NA
Allobates wayuu,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Allophryne ruthveni,Allophrynidae,Diphyabatracea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,26.9,22.6,24.75,_0.08,1,300,235.5
Altiphrynoides malcolmi,Bufonidae,Agastorophrynia,male_only care ,1,1,1,1,0,0,2,2,0,0,0,NA,absent,32,21,26.5,_0.18,2.570395783,20,106.13
Alytes cisternasii,Alytidae,Costata,male_only care ,1,1,1,1,0,0,3,3,0,0,0,1,absent,34.9,NA,NA,NA,3.388441561,94.5,844.99
Alytes dickhilleni,Alytidae,Costata,male_only care ,1,1,1,1,0,0,3,3,0,0,0,1,absent,42.65,NA,NA,NA,3.89045145,36,429.83
Alytes muletensis,Alytidae,Costata,male_only care ,1,1,1,1,0,0,3,3,0,0,0,1,absent,33.35,NA,NA,NA,5.370317964,15.5,348.26
Alytes obstetricans,Alytidae,Costata,male_only care ,1,1,1,1,0,0,3,3,0,0,0,1,absent,45,NA,NA,NA,3.090295433,59,437.94
Amazophrynella minuta,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,20.5,16.5,18.5,_0.09,0.707945784,160,63.76
Ameerega bassleri,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega bilinguis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,20.95,NA,NA,NA,2.691534804,11,62.95
Ameerega braccata,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega erythromos,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega flavopicta,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega hahneli,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,20.75,18,19.38,_0.06,2.290867653,20.75,86.17
Ameerega macero,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega parvula,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,21.85,19,20.43,_0.06,3.090295433,8.75,64.95
Ameerega petersi,Dendrobatidae,Agastorophrynia,biparental care,2,2,2,1,2,1,3,3,3,0,0,NA,absent,28,24.8,26.4,_0.05,NA,NA,NA
Ameerega picta,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,24.2,23.2,23.7,_0.02,1.995262315,19,59.66
Ameerega pulchripecta,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,26,22.6,24.3,_0.06,NA,NA,NA
Ameerega silverstonei,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,42.3,35.9,39.1,_0.07,1.995262315,30,94.2
Ameerega smaragdina,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Ameerega trivittata,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,1,absent,46.05,37.9,41.98,_0.08,3.090295433,48,356.29
Amietia angolensis,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,1.513561248,NA,NA
Amietia fuscigula,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.513561248,15000,26493.75
Amietia vertebralis,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Amietophrynus garmani,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,115,NA,NA,NA,1.096478196,16000,15197.6
Amietophrynus gutturalis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,102.5,NA,NA,NA,1.479108388,20000,34157.31
Amietophrynus kisoloensis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Amietophrynus maculatus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,60.5,NA,NA,NA,1.318256739,5000,6890.83
Amietophrynus mauritanicus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.513561248,NA,NA
Amietophrynus pardalis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,109,94.8,101.9,_0.06,NA,NA,NA
Amietophrynus rangeri,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.288249552,NA,NA
Amietophrynus regularis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,100,NA,NA,NA,1.318256739,13000,17916.15
Amietophrynus xeros,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Amnirana galamensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,74,NA,NA,NA,1.698243652,3817.5,8660.57
Amolops chunganensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,48.1,39.6,43.85,_0.08,2.884031503,436,2878.41
Amolops cremnobatus,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,NA,NA,NA,NA,3.630780548,NA,NA
Amolops daiyunensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,54.5,49.4,51.95,_0.04,2.511886432,NA,NA
Amolops granulosus,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,51.9,39.8,45.85,_0.12,NA,NA,NA
Amolops hainanensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,72.9,80.4,76.65,0.04,2.691534804,NA,NA
Amolops lifanensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,71.1,54.2,62.65,_0.12,3.981071706,NA,NA
Amolops loloensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,74.2,58.3,66.25,_0.1,3.981071706,153,1921.68
Amolops mantzorum,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,65.8,52.2,59,_0.1,2.511886432,NA,NA
Amolops marmoratus,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Amolops panhai,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Amolops ricketti,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,60.7,55.9,58.3,_0.04,3.01995172,990,6994.35
Amolops viridimaculatus,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,98,74.8,86.4,_0.12,NA,NA,NA
Amolops wuyiensis,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,48.2,41.8,45,_0.06,1.995262315,600,1884
Anaxyrus americanus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,73.8,53.1,63.45,_0.14,1.348962883,6500,9299.31
Anaxyrus boreas,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,92.5,NA,NA,NA,1.659586907,8606.5,18955.09
Anaxyrus californicus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.412537545,4714,7252.96
Anaxyrus canorus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,2.089296131,NA,NA
Anaxyrus cognatus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,82,NA,NA,NA,1.202264435,16186.5,17993.54
Anaxyrus debilis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,36.5,35.1,35.8,_0.02,1,NA,NA
Anaxyrus exsul,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,50.9,51.6,51.25,0.01,NA,NA,NA
Anaxyrus fowleri,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,71.5,55.7,63.6,_0.11,NA,8000,NA
Anaxyrus hemiophrys,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anaxyrus microscaphus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,73,NA,NA,NA,1.479108388,4075,6959.55
Anaxyrus nelsoni,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anaxyrus punctatus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.202264435,NA,NA
Anaxyrus quercicus,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,28.9,27.5,28.2,_0.02,1,NA,NA
Anaxyrus retiformis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,52.5,44.4,48.45,_0.07,NA,NA,NA
Anaxyrus terrestris,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.202264435,4000,4521.6
Anaxyrus woodhousii,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.288249552,10500,13399.21
Andinobates bombetes,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Andinobates minutus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,13.5,13.2,13.35,_0.01,NA,NA,NA
Andinobates opisthomelas,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Andinobates virolinensis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anhydrophryne rattrayi,Pyxicephalidae,Natatanura,male_only care ,1,1,1,1,0,0,1,1,0,2,1,1,present,21.5,NA,NA,NA,2.511886432,15.25,74.82
Anodonthyla boulengeri,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anodonthyla montana,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,0,absent,NA,NA,NA,NA,NA,NA,NA
Anodonthyla nigrigularis,Microhylidae,Microhylidae,male_only care ,1,2,2,1,0,0,2,2,0,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anodonthyla rouxae,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,0,absent,26,NA,NA,NA,2.511886432,31.5,154.55
Anomaloglossus beebei,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,2,1,2,2,0,1,1,NA,absent,NA,NA,NA,NA,2.041737945,4,13.2
Anomaloglossus degranvillei,Dendrobatidae,Agastorophrynia,either parent,1,2,2,1,2,1,3,3,3,2,1,NA,absent,NA,NA,NA,NA,NA,NA,NA
Anomaloglossus stepheni,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,2,2,0,2,1,1,absent,17,16,16.5,_0.03,1.995262315,4.5,14.13
Anotheca spinosa,Hylidae,Hylidae,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,absent,66.2,61.1,63.65,_0.03,1.621810097,247.75,513.56
Aphantophryne pansa,Microhylidae,Microhylidae,male_only care ,1,3,3,1,0,0,3,3,0,2,1,1,present,NA,NA,NA,NA,NA,17,NA
Aplastodiscus perviridis,Hylidae,Hylidae,male_only care ,1,1,1,1,0,0,1,1,0,1,1,0,absent,43,NA,NA,NA,1.819700859,210.75,536.02
Arenophryne rotunda,Myobatrachidae,Australobatrachia,biparental care,2,1,1,1,1,1,1,1,1,2,1,NA,present,NA,NA,NA,NA,5.495408739,11,261.21
Aromobates alboguttatus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates duranti,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates haydeeae,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates mayorgai,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates meridensis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates molinarii,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates nocturnus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates orostoma,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates saltuensis,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Aromobates serranus,Dendrobatidae,Agastorophrynia,male_only care ,1,2,2,1,0,0,3,3,0,0,0,NA,absent,NA,NA,NA,NA,NA,NA,NA
Arthroleptella bicolor,Pyxicephalidae,Natatanura,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,22,NA,NA,NA,3.467368505,9,86.55
Arthroleptella hewitti,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,3.01995172,NA,NA
Arthroleptella lightfooti,Pyxicephalidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,4.265795188,NA,NA
Arthroleptides martiensseni,Petropedetidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,NA,NA,NA,NA,NA,NA,NA
Arthroleptis poecilonotus,Arthroleptidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,2,1,1,present,30.5,NA,NA,NA,3.981071706,20,244.96
Arthroleptis schubotzi,Arthroleptidae,Afrobatrachia,no care,0,0,0,0,0,0,0,0,0,2,1,1,present,23,NA,NA,NA,3.01995172,14.5,102.44
Arthroleptis xenodactyloides,Arthroleptidae,Afrobatrachia,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,22,NA,NA,NA,3.981071706,20,251.2
Ascaphus montanus,Ascaphidae,Leiopelmatoidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,43.5,NA,NA,NA,3.89045145,65,776.09
Ascaphus truei,Ascaphidae,Leiopelmatoidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,45.5,NA,NA,NA,4.265795188,45.5,660.42
Assa darlingtoni,Myobatrachidae,Australobatrachia,biparental care,2,2,2,1,1,1,4,4,2,0,0,1,absent,25,NA,NA,NA,2.398832919,10.5,48.47
Atelognathus patagonicus,Ceratophryidae,Crown Hyloidea,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Atelopus carbonerensis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.513561248,NA,NA
Atelopus chiriquiensis,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,42.5,31,36.75,_0.14,2.089296131,364,1260.11
Atelopus spumarius,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,35,27.5,31.25,_0.1,1.995262315,NA,NA
Atelopus varius,Bufonidae,Agastorophrynia,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,40.5,33,36.75,_0.09,2.398832919,950,4295.52
Austrochaperina blumi,Microhylidae,Microhylidae,male_only care ,1,2,2,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Austrochaperina brevipes,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Austrochaperina fryi,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,12,NA
Austrochaperina macrorhyncha,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Austrochaperina mehelyi,Microhylidae,Microhylidae,female_only care ,1,1,0,0,1,1,NA,0,NA,2,1,NA,present,NA,NA,NA,NA,NA,NA,NA
Austrochaperina palmipes,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,NA,present,NA,NA,NA,NA,NA,12,NA
Babina holsti,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,103,118.7,110.85,0.06,2.398832919,25,115.41
Babina okinavana,Ranidae,Natatanura,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,absent,43.5,40.2,41.85,_0.03,NA,259,NA
Babina pleuraden,Ranidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,49.8,51,50.4,0.01,1.995262315,606,1902.84
Barbourula busuangensis,Bombinatoridae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,85.3,84.8,85.05,0,5.888436554,78,2131.42
Barygenys flavigularis,Microhylidae,Microhylidae,male_only care ,1,1,1,1,0,0,2,2,0,2,1,1,present,NA,NA,NA,NA,NA,NA,NA
Blommersia wittei,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,1,absent,24.5,NA,NA,NA,1.445439771,70,115.53
Bokermannohyla circumdata,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,63,63,63,0,NA,NA,NA
Bokermannohyla hylax,Hylidae,Hylidae,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Bombina bombina,Bombinatoridae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,44.5,NA,NA,NA,1.862087137,123.75,340.61
Bombina maxima,Bombinatoridae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,50.9,49.2,50.05,_0.01,3.467368505,NA,NA
Bombina orientalis,Bombinatoridae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,39.75,42.1,40.93,0.02,1.737800829,165,396.67
Bombina variegata,Bombinatoridae,Costata,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,44.6,NA,NA,NA,1.995262315,84.75,266.12
Boophis albilabris,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,74.5,NA,NA,NA,2.511886432,421,2065.53
Boophis erythrodactylus,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,NA,NA,NA,NA,1.995262315,NA,NA
Boophis goudotii,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,80,50,65,_0.2,1.995262315,1000,3140
Boophis luteus,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,50.75,38.5,44.63,_0.12,2.13796209,157.5,558.3
Boophis madagascariensis,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,70,NA,NA,NA,3.01995172,405,2861.33
Boophis occidentalis,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,51,NA,NA,NA,2.344228815,1342,5817.79
Boophis rappiodes,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,NA,absent,32,24,28,_0.12,1.995262315,260,816.4
Boophis tephraeomystax,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,45.5,38.5,42,_0.07,1.412537545,NA,NA
Boophis xerophilus,Mantellidae,Natatanura,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,NA,NA,NA,NA,NA,NA,NA
Brachycephalus ephippium,Brachycephalidae,Terrarana,no care,0,0,0,0,0,0,0,0,0,2,1,1,present,16.1,NA,NA,NA,5.248074602,5,106.13
Brachytarsophrys feae,Megophryidae,Anomocoela,no care,0,0,0,0,0,0,0,0,0,0,0,0,absent,101.2,95.6,98.4,_0.02,4.466835922,1000,15896.25
