Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype,Archetype_without_mass,Archetype_without_activity
Iberolacerta monticola,0.002,0,0.009,0.863,0,0.126,0,Scansorial,Scansorial,Scansorial
Ichnotropis bivittata,0,0,0,0,0,0.252,0.748,Terrestrial,Terrestrial,Terrestrial
Ichnotropis capensis,0,0,0,0,0,0.217,0.783,Terrestrial,Terrestrial,Terrestrial
Iguana delicatissima,0,0.409,0,0,0,0.591,0,Large,Herbivorous,Large
Iguana iguana,0,0.334,0,0,0,0.666,0,Large,Herbivorous,Large
Intellagama lesueurii,0.894,0,0,0,0,0.106,0,Aquatic,Aquatic,Aquatic
Iphisa elegans,0,0,0,0,0,0.198,0.802,Terrestrial,Terrestrial,Terrestrial
Iranolacerta brandtii,0,0,0,0,0,0.246,0.754,Terrestrial,Terrestrial,Terrestrial
Japalura andersoniana,0.002,0,0.009,0.863,0,0.126,0,Scansorial,Scansorial,Scansorial
Japalura flaviceps,0.002,0,0.012,0.822,0,0.164,0,Scansorial,Scansorial,Scansorial
Japalura kumaonensis,0.001,0,0.005,0.919,0,0.075,0,Scansorial,Scansorial,Scansorial
Japalura luei,0.002,0,0.009,0.865,0,0.124,0,Scansorial,Scansorial,Scansorial
Japalura major,0.003,0,0.013,0.794,0,0.19,0,Scansorial,Scansorial,Scansorial
Japalura planidorsata,0,0,0.002,0.972,0,0.026,0,Scansorial,Scansorial,Scansorial
Japalura polygonata,0.002,0,0.01,0.842,0,0.145,0,Scansorial,Scansorial,Scansorial
Japalura splendida,0.003,0,0.015,0.775,0,0.207,0,Scansorial,Scansorial,Scansorial
Japalura swinhonis,0.003,0,0.012,0.817,0,0.168,0,Scansorial,Scansorial,Scansorial
Japalura tricarinata,0.001,0,0.004,0.942,0,0.054,0,Scansorial,Scansorial,Scansorial
Japalura variegata,0.004,0,0.019,0.713,0,0.264,0,Scansorial,Scansorial,Scansorial
Kaestlea bilineata,0,0,0,0,0,0.192,0.808,Terrestrial,Terrestrial,Terrestrial
Kaestlea laterimaculata,0,0,0,0,0,0.121,0.879,Terrestrial,Terrestrial,Terrestrial
Kaestlea travancorica,0,0,0,0,0,0.184,0.816,Terrestrial,Terrestrial,Terrestrial
Karusasaurus jordani,0.004,0,0.019,0.711,0,0.266,0,Scansorial,Scansorial,Scansorial
Karusasaurus polyzonus,0.004,0,0.017,0.743,0,0.237,0,Scansorial,Scansorial,Scansorial
Kentropyx altamazonica,0.979,0,0,0,0,0,0.021,Aquatic,Aquatic,Aquatic
Kentropyx calcarata,0.004,0,0.018,0.731,0,0.247,0,Scansorial,Scansorial,Scansorial
Kentropyx pelviceps,0.004,0,0.019,0.704,0,0.273,0,Scansorial,Scansorial,Scansorial
Kentropyx striata,0.004,0,0.019,0.711,0,0.266,0,Scansorial,Scansorial,Scansorial
Kentropyx vanzoi,0,0,0,0,0,0.292,0.708,Terrestrial,Terrestrial,Terrestrial
Kentropyx viridistriga,0,0,0,0,0,0.352,0.648,Terrestrial,Terrestrial,Terrestrial
Kinyongia adolfifriderici,0.001,0,0.005,0.923,0,0.071,0,Scansorial,Scansorial,Scansorial
Kinyongia boehmei,0.003,0,0.012,0.819,0,0.166,0,Scansorial,Scansorial,Scansorial
Kinyongia carpenteri,0.003,0,0.015,0.773,0,0.209,0,Scansorial,Scansorial,Scansorial
Kinyongia excubitor,0.002,0,0.008,0.882,0,0.109,0,Scansorial,Scansorial,Scansorial
Kinyongia fischeri,0.005,0,0.024,0.625,0,0.345,0,Scansorial,Scansorial,Scansorial
Kinyongia matschiei,0.004,0,0.02,0.69,0,0.285,0,Scansorial,Scansorial,Scansorial
Kinyongia oxyrhina,0.001,0,0.007,0.9,0,0.092,0,Scansorial,Scansorial,Scansorial
Kinyongia tavetana,0.003,0,0.012,0.819,0,0.166,0,Scansorial,Scansorial,Scansorial
Kinyongia tenuis,0.001,0,0.006,0.907,0,0.086,0,Scansorial,Scansorial,Scansorial
Kinyongia uthmoelleri,0.002,0,0.011,0.831,0,0.156,0,Scansorial,Scansorial,Scansorial
Kinyongia xenorhina,0.003,0,0.013,0.803,0,0.181,0,Scansorial,Scansorial,Scansorial
Lacerta agilis,0,0,0,0,0,0.346,0.654,Terrestrial,Terrestrial,Terrestrial
Lacerta bilineata,0,0,0,0,0,0.379,0.621,Terrestrial,Terrestrial,Terrestrial
Lacerta media,0.005,0,0.021,0.674,0,0.3,0,Scansorial,Scansorial,Scansorial
Lacerta schreiberi,0,0,0,0,0,0.387,0.613,Terrestrial,Terrestrial,Terrestrial
Lacerta strigata,0,0,0,0,0,0.429,0.571,Terrestrial,Terrestrial,Terrestrial
Lacerta trilineata,0,0.705,0,0,0,0.295,0,Herbivorous,Herbivorous,Herbivorous
Lacerta viridis,0.005,0,0.021,0.674,0,0.3,0,Scansorial,Scansorial,Scansorial
Lacertaspis reichenowi,0,0,0,0.98,0.001,0,0.019,Scansorial,Scansorial,Scansorial
Lacertaspis rohdei,0,0,0,0,0,0.178,0.822,Terrestrial,Terrestrial,Terrestrial
Lacertoides pardalis,0,0.772,0,0,0,0.228,0,Herbivorous,Herbivorous,Herbivorous
Laemanctus longipes,0.005,0,0.022,0.66,0,0.313,0,Scansorial,Scansorial,Scansorial
Laemanctus serratus,0,0,0.733,0,0,0.267,0,Nocturnal,Nocturnal,Scansorial
Lamprolepis smaragdina,0,0.798,0,0,0,0.202,0,Herbivorous,Herbivorous,Herbivorous
Lampropholis adonis,0,0,0,0,0,0.136,0.864,Terrestrial,Terrestrial,Terrestrial
Lampropholis coggeri,0,0,0,0,0,0.092,0.908,Terrestrial,Terrestrial,Terrestrial
Lampropholis delicata,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Lampropholis guichenoti,0,0,0,0,0,0.132,0.868,Terrestrial,Terrestrial,Terrestrial
Lampropholis mirabilis,0,0,0,0.967,0.002,0,0.031,Scansorial,Scansorial,Scansorial
Lampropholis robertsi,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Lankascincus deignani,0,0,0,0,0,0.161,0.839,Terrestrial,Terrestrial,Terrestrial
Lankascincus deraniyagalae,0,0,0,0,0,0.171,0.829,Terrestrial,Terrestrial,Terrestrial
Lankascincus fallax,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Lankascincus gansi,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Lankascincus taprobanensis,0,0,0,0,0,0.161,0.839,Terrestrial,Terrestrial,Terrestrial
Lankascincus taylori,0,0,0,0,0,0.132,0.868,Terrestrial,Terrestrial,Terrestrial
Lanthanotus borneensis,0.908,0,0,0,0,0.092,0,Aquatic,Aquatic,Aquatic
Larutia larutensis,0,0,0,0,0.798,0.202,0,Fossorial,Fossorial,Fossorial
Larutia miodactyla,0,0,0,0,0.834,0.166,0,Fossorial,Fossorial,Fossorial
Larutia trifasciata,0,0,0,0,0.756,0.244,0,Fossorial,Fossorial,Fossorial
Latastia johnstonii,0,0,0,0,0,0.204,0.796,Terrestrial,Terrestrial,Terrestrial
Latastia longicaudata,0,0,0,0,0,0.337,0.663,Terrestrial,Terrestrial,Terrestrial
Laudakia agrorensis,0,0.782,0,0,0,0.218,0,Herbivorous,Herbivorous,Herbivorous
Laudakia melanura,0,0.713,0,0,0,0.286,0,Herbivorous,Herbivorous,Herbivorous
Laudakia nupta,0,0.667,0,0,0,0.333,0,Herbivorous,Herbivorous,Herbivorous
Laudakia pakistanica,0,0.695,0,0,0,0.305,0,Herbivorous,Herbivorous,Herbivorous
Laudakia papenfussi,0,0.752,0,0,0,0.248,0,Herbivorous,Herbivorous,Herbivorous
Laudakia tuberculata,0,0.705,0,0,0,0.295,0,Herbivorous,Herbivorous,Herbivorous
Laudakia wui,0,0.679,0,0,0,0.321,0,Herbivorous,Herbivorous,Herbivorous
Leiocephalus barahonensis,0,0.879,0,0,0,0.121,0,Herbivorous,Herbivorous,Herbivorous
Leiocephalus carinatus,0,0.505,0,0,0,0.332,0.163,Herbivorous,Herbivorous,Herbivorous
Leiocephalus cubensis,0,0.514,0,0,0,0.303,0.184,Herbivorous,Herbivorous,Herbivorous
Leiocephalus cuneus,0,0.471,0,0,0,0.45,0.079,Herbivorous,Herbivorous,Herbivorous
Leiocephalus inaguae,0,0.539,0,0,0,0.216,0.246,Herbivorous,Herbivorous,Herbivorous
Leiocephalus loxogrammus,0,0.536,0,0,0,0.224,0.24,Herbivorous,Herbivorous,Herbivorous
Leiocephalus macropus,0,0.845,0,0,0,0.155,0,Herbivorous,Herbivorous,Herbivorous
Leiocephalus personatus,0.003,0,0.015,0.766,0,0.215,0,Scansorial,Scansorial,Scansorial
Leiocephalus psammodromus,0,0.802,0,0,0,0.198,0,Herbivorous,Herbivorous,Herbivorous
Leiocephalus punctatus,0,0.893,0,0,0,0.107,0,Herbivorous,Herbivorous,Herbivorous
Leiocephalus raviceps,0,0.555,0,0,0,0.16,0.285,Herbivorous,Herbivorous,Herbivorous
Leiocephalus schreibersii,0.003,0,0.015,0.768,0,0.213,0,Scansorial,Scansorial,Scansorial
Leiocephalus semilineatus,0,0,0,0.997,0,0.003,0,Scansorial,Scansorial,Scansorial
Leiocephalus sixtoi,0,0,0,0,0,0.296,0.704,Terrestrial,Terrestrial,Terrestrial
Leiocephalus stictigaster,0,0.53,0,0,0,0.247,0.224,Herbivorous,Herbivorous,Herbivorous
Leiolepis belliana,0,0.479,0,0,0,0.423,0.098,Herbivorous,Herbivorous,Herbivorous
Leiolepis boehmei,0,0.506,0,0,0,0.328,0.166,Herbivorous,Herbivorous,Herbivorous
Leiolepis guentherpetersi,0,0.49,0,0,0,0.385,0.125,Herbivorous,Herbivorous,Herbivorous
Leiolepis guttata,0,0.452,0,0,0,0.518,0.03,Large,Herbivorous,Herbivorous
Leiolepis peguensis,0,0.487,0,0,0,0.396,0.117,Herbivorous,Herbivorous,Herbivorous
Leiolepis reevesii,0,0.474,0,0,0,0.441,0.085,Herbivorous,Herbivorous,Herbivorous
Leiolepis triploida,0,0.494,0,0,0,0.371,0.135,Herbivorous,Herbivorous,Herbivorous
Leiolopisma telfairii,0,0.43,0.17,0,0,0.334,0.067,Herbivorous,Herbivorous,Herbivorous
Leiosaurus bellii,0,0,0,0,0,0.364,0.636,Terrestrial,Terrestrial,Terrestrial
Leiosaurus catamarcensis,0,0,0,0,0,0.389,0.611,Terrestrial,Terrestrial,Terrestrial
Leiosaurus paronae,0,0,0,0,0,0.364,0.636,Terrestrial,Terrestrial,Terrestrial
Lepidoblepharis conolepis,0,0,0,0,0,0.113,0.887,Terrestrial,Terrestrial,Terrestrial
Lepidoblepharis festae,0,0,0,0,0,0.13,0.87,Terrestrial,Terrestrial,Terrestrial
Lepidoblepharis heyerorum,0,0,0.36,0,0,0,0.64,Terrestrial,Nocturnal,Terrestrial
Lepidoblepharis nukak,0,0,0,0.016,0,0.01,0.975,Terrestrial,Terrestrial,Terrestrial
Lepidoblepharis sanctaemartae,0,0,0,0.003,0,0.056,0.941,Terrestrial,Terrestrial,Terrestrial
Lepidoblepharis xanthostigma,0,0,0,0,0,0.119,0.881,Terrestrial,Terrestrial,Terrestrial
Lepidodactylus euaensis,0,0,0.846,0,0.03,0,0.124,Nocturnal,Nocturnal,Scansorial
Lepidodactylus listeri,0,0,0.854,0,0.028,0,0.118,Nocturnal,Nocturnal,Scansorial
Lepidodactylus lugubris,0,0.667,0.333,0,0,0,0,Herbivorous,Herbivorous,Herbivorous
Lepidodactylus pumilus,0,0.673,0.327,0,0,0,0,Herbivorous,Herbivorous,Herbivorous
Lepidodactylus vanuatuensis,0,0.674,0.326,0,0,0,0,Herbivorous,Herbivorous,Herbivorous
Lepidophyma flavimaculatum,0,0,0.836,0,0,0.164,0,Nocturnal,Nocturnal,Scansorial
Lepidophyma gaigeae,0,0,0.921,0,0.015,0,0.063,Nocturnal,Nocturnal,Scansorial
Lepidophyma mayae,0.002,0,0.009,0.859,0,0.13,0,Scansorial,Scansorial,Scansorial
Lepidophyma micropholis,0,0,0.923,0,0,0.077,0,Nocturnal,Nocturnal,Scansorial
Lepidophyma occulor,0,0,0.85,0,0,0.15,0,Nocturnal,Nocturnal,Scansorial
Lepidophyma pajapanensis,0,0,0.997,0,0.001,0,0.003,Nocturnal,Nocturnal,Scansorial
Lepidophyma smithii,0,0.568,0.346,0,0,0.086,0,Herbivorous,Herbivorous,Herbivorous
Lepidophyma tarascae,0,0.602,0.367,0,0,0.031,0,Herbivorous,Herbivorous,Herbivorous
Lepidophyma tuxtlae,0,0.594,0.362,0,0,0.044,0,Herbivorous,Herbivorous,Herbivorous
Lepidothyris fernandi,0,0,0.426,0,0,0.339,0.235,Nocturnal,Nocturnal,Terrestrial
Lepidothyris hinkeli,0,0,0,0,0,0.41,0.59,Terrestrial,Terrestrial,Terrestrial
Lepidothyris striatus,0,0,0,0,0,0.447,0.553,Terrestrial,Terrestrial,Terrestrial
Leposoma puk,0,0,0,0,0,0.086,0.914,Terrestrial,Terrestrial,Terrestrial
Leptosiaphos blochmanni,0,0,0,0,0,0.146,0.854,Terrestrial,Terrestrial,Terrestrial
Leptosiaphos graueri,0,0,0,0.11,0.869,0.021,0,Fossorial,Fossorial,Fossorial
Leptosiaphos kilimensis,0,0,0,0,0,0.223,0.777,Terrestrial,Terrestrial,Terrestrial
Lerista aericeps,0,0,0.006,0,0.994,0,0,Fossorial,Fossorial,Fossorial
Lerista allanae,0,0,0.025,0,0.95,0.025,0,Fossorial,Fossorial,Fossorial
Lerista allochira,0,0,0.3,0,0,0,0.7,Terrestrial,Nocturnal,Terrestrial
Lerista arenicola,0,0,0,0.042,0.868,0.09,0,Fossorial,Fossorial,Fossorial
Lerista axillaris,0,0,0.035,0,0.953,0.013,0,Fossorial,Fossorial,Fossorial
Lerista baynesi,0,0,0.028,0,0.951,0.021,0,Fossorial,Fossorial,Fossorial
Lerista bipes,0,0,0.027,0,0.973,0,0,Fossorial,Fossorial,Fossorial
Lerista borealis,0,0,0.021,0,0.979,0,0,Fossorial,Fossorial,Fossorial
Lerista bougainvillii,0,0,0,0,0.929,0.071,0,Fossorial,Fossorial,Fossorial
Lerista bunglebungle,0,0,0.027,0,0.973,0,0,Fossorial,Fossorial,Fossorial
Lerista christinae,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista cinerea,0,0,0.033,0,0.968,0,0,Fossorial,Fossorial,Fossorial
Lerista connivens,0,0,0.038,0,0.953,0.009,0,Fossorial,Fossorial,Fossorial
Lerista desertorum,0,0,0.023,0,0.95,0.027,0,Fossorial,Fossorial,Fossorial
Lerista distinguenda,0,0,0.356,0,0,0,0.644,Terrestrial,Nocturnal,Terrestrial
Lerista dorsalis,0,0,0.434,0,0,0,0.566,Terrestrial,Nocturnal,Terrestrial
Lerista edwardsae,0,0,0.02,0,0.949,0.031,0,Fossorial,Fossorial,Fossorial
Lerista elegans,0,0,0.328,0,0,0,0.672,Terrestrial,Nocturnal,Terrestrial
Lerista emmotti,0,0,0.005,0,0.946,0.049,0,Fossorial,Fossorial,Fossorial
Lerista fragilis,0,0,0.395,0,0,0,0.605,Terrestrial,Nocturnal,Terrestrial
Lerista frosti,0,0,0,0,0,0.113,0.887,Terrestrial,Terrestrial,Terrestrial
Lerista gascoynensis,0,0,0.03,0,0.97,0,0,Fossorial,Fossorial,Fossorial
Lerista gerrardii,0,0,0.035,0,0.953,0.013,0,Fossorial,Fossorial,Fossorial
Lerista greeri,0,0,0.023,0,0.977,0,0,Fossorial,Fossorial,Fossorial
Lerista griffini,0,0,0.027,0,0.973,0,0,Fossorial,Fossorial,Fossorial
Lerista humphriesi,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista ingrami,0,0,0,0.018,0.883,0,0.1,Fossorial,Fossorial,Fossorial
Lerista ips,0,0,0.033,0,0.968,0,0,Fossorial,Fossorial,Fossorial
Lerista karlschmidti,0,0,0.032,0,0.968,0,0,Fossorial,Fossorial,Fossorial
Lerista kendricki,0,0,0.027,0,0.973,0,0,Fossorial,Fossorial,Fossorial
Lerista kennedyensis,0,0,0.013,0,0.987,0,0,Fossorial,Fossorial,Fossorial
Lerista kingi,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista labialis,0,0,0.016,0,0.984,0,0,Fossorial,Fossorial,Fossorial
Lerista lineata,0,0,0,0.128,0.872,0,0,Fossorial,Fossorial,Fossorial
Lerista lineopunctulata,0,0,0,0,0.936,0.064,0,Fossorial,Fossorial,Fossorial
Lerista macropisthopus,0,0,0.01,0,0.947,0.043,0,Fossorial,Fossorial,Fossorial
Lerista micra,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista microtis,0,0,0.445,0,0,0.04,0.515,Terrestrial,Nocturnal,Terrestrial
Lerista muelleri,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista nichollsi,0,0,0.027,0,0.973,0,0,Fossorial,Fossorial,Fossorial
Lerista onsloviana,0,0,0.03,0,0.97,0,0,Fossorial,Fossorial,Fossorial
Lerista orientalis,0,0,0,0.006,0,0.044,0.95,Terrestrial,Terrestrial,Terrestrial
Lerista petersoni,0,0,0.434,0,0,0,0.566,Terrestrial,Nocturnal,Terrestrial
Lerista picturata,0,0,0.025,0,0.95,0.025,0,Fossorial,Fossorial,Fossorial
Lerista planiventralis,0,0,0.033,0,0.968,0,0,Fossorial,Fossorial,Fossorial
Lerista praepedita,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista punctatovittata,0,0,0.002,0,0.945,0.053,0,Fossorial,Fossorial,Fossorial
Lerista rhodonoides,0,0,0,0.103,0.878,0,0.019,Fossorial,Fossorial,Fossorial
Lerista robusta,0,0,0.022,0,0.978,0,0,Fossorial,Fossorial,Fossorial
Lerista rochfordensis,0,0,0.045,0,0.956,0,0,Fossorial,Fossorial,Fossorial
Lerista rolfei,0,0,0,0.098,0.878,0,0.024,Fossorial,Fossorial,Fossorial
Lerista simillima,0,0,0.008,0,0.992,0,0,Fossorial,Fossorial,Fossorial
Lerista storri,0,0,0.034,0,0.966,0,0,Fossorial,Fossorial,Fossorial
Lerista terdigitata,0,0,0,0.127,0.869,0.004,0,Fossorial,Fossorial,Fossorial
Lerista tridactyla,0,0,0,0,0,0.072,0.928,Terrestrial,Terrestrial,Terrestrial
Lerista uniduo,0,0,0.017,0,0.983,0,0,Fossorial,Fossorial,Fossorial
Lerista varia,0,0,0.04,0,0.954,0.007,0,Fossorial,Fossorial,Fossorial
Lerista verhmens,0,0,0,0.109,0.877,0,0.014,Fossorial,Fossorial,Fossorial
Lerista vermicularis,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lerista viduata,0,0,0,0,0,0.092,0.908,Terrestrial,Terrestrial,Terrestrial
Lerista vittata,0,0,0.038,0,0.962,0,0,Fossorial,Fossorial,Fossorial
Lerista walkeri,0,0,0.021,0,0.979,0,0,Fossorial,Fossorial,Fossorial
Lerista wilkinsi,0,0,0.037,0,0.963,0,0,Fossorial,Fossorial,Fossorial
Lerista xanthura,0,0,0.013,0,0.987,0,0,Fossorial,Fossorial,Fossorial
Lerista yuna,0,0,0.025,0,0.975,0,0,Fossorial,Fossorial,Fossorial
Lerista zonulata,0,0,0,0,1,0,0,Fossorial,Fossorial,Fossorial
Lialis burtonis,0,0,0.436,0,0,0.182,0.382,Nocturnal,Nocturnal,Terrestrial
Lialis jicari,0,0.534,0,0,0,0.232,0.234,Herbivorous,Herbivorous,Herbivorous
Liburnascincus mundivensis,0,0,0.001,0.983,0,0.015,0,Scansorial,Scansorial,Scansorial
Liburnascincus scirtetis,0,0.956,0,0,0,0.044,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus abaucan,0,0.56,0,0,0,0.141,0.299,Herbivorous,Herbivorous,Herbivorous
Liolaemus albiceps,0,0.531,0,0,0,0.243,0.226,Herbivorous,Herbivorous,Herbivorous
Liolaemus alticolor,0,0.573,0,0,0,0.096,0.331,Herbivorous,Herbivorous,Herbivorous
Liolaemus andinus,0,0.533,0,0,0,0.234,0.232,Herbivorous,Herbivorous,Herbivorous
Liolaemus aparicioi,0.001,0,0.004,0.944,0,0.052,0,Scansorial,Scansorial,Scansorial
Liolaemus arambarensis,0,0.368,0,0,0.621,0.012,0,Fossorial,Fossorial,Fossorial
Liolaemus archeforus,0,0.533,0,0,0,0.236,0.231,Herbivorous,Herbivorous,Herbivorous
Liolaemus atacamensis,0,0,0,0,0,0.275,0.725,Terrestrial,Terrestrial,Terrestrial
Liolaemus audituvelatus,0,0,0,0,0,0.211,0.789,Terrestrial,Terrestrial,Terrestrial
Liolaemus austromendocinus,0,0,0,0,0,0.354,0.646,Terrestrial,Terrestrial,Terrestrial
Liolaemus azarai,0,0,0,0,0,0.184,0.816,Terrestrial,Terrestrial,Terrestrial
Liolaemus baguali,0,0,0,0,0,0.346,0.654,Terrestrial,Terrestrial,Terrestrial
Liolaemus bellii,0,0.835,0,0,0,0.165,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus bibronii,0,0,0,0,0,0.252,0.748,Terrestrial,Terrestrial,Terrestrial
Liolaemus bitaeniatus,0,0,0,0,0,0.219,0.781,Terrestrial,Terrestrial,Terrestrial
Liolaemus boulengeri,0,0,0,0,0,0.279,0.721,Terrestrial,Terrestrial,Terrestrial
Liolaemus buergeri,0,0.788,0,0,0,0.212,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus burmeisteri,0.002,0,0.011,0.826,0,0.16,0,Scansorial,Scansorial,Scansorial
Liolaemus calchaqui,0,0.956,0,0,0,0.044,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus canqueli,0,0.816,0,0,0,0.184,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus chacoensis,0,0,0,0,0,0.188,0.812,Terrestrial,Terrestrial,Terrestrial
Liolaemus chaltin,0,0.568,0,0,0,0.112,0.319,Herbivorous,Herbivorous,Herbivorous
Liolaemus chehuachekenk,0,0.523,0,0,0,0.27,0.207,Herbivorous,Herbivorous,Herbivorous
Liolaemus chiliensis,0,0.802,0,0,0,0.198,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus chillanensis,0,0.849,0,0,0,0.151,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus coeruleus,0,0,0,0,0,0.252,0.748,Terrestrial,Terrestrial,Terrestrial
Liolaemus confusus,0.001,0,0.006,0.909,0,0.083,0,Scansorial,Scansorial,Scansorial
Liolaemus constanzae,0,0.889,0,0,0,0.111,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus crandalli,0,0.837,0,0,0,0.163,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus crepuscularis,0,0.938,0,0,0,0.062,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus cristiani,0.002,0,0.01,0.852,0,0.137,0,Scansorial,Scansorial,Scansorial
Liolaemus curicensis,0.002,0,0.007,0.891,0,0.1,0,Scansorial,Scansorial,Scansorial
Liolaemus curis,0.003,0,0.015,0.766,0,0.215,0,Scansorial,Scansorial,Scansorial
Liolaemus cuyanus,0,0.523,0,0,0,0.272,0.206,Herbivorous,Herbivorous,Herbivorous
Liolaemus cuyumhue,0,0,0,0,0,0.219,0.781,Terrestrial,Terrestrial,Terrestrial
Liolaemus cyaneinotatus,0,0.96,0,0,0,0.04,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus cyanogaster,0.002,0,0.008,0.882,0,0.109,0,Scansorial,Scansorial,Scansorial
Liolaemus darwinii,0,0,0,0,0,0.248,0.752,Terrestrial,Terrestrial,Terrestrial
Liolaemus ditadai,0,0,0,0,0,0.331,0.669,Terrestrial,Terrestrial,Terrestrial
Liolaemus dorbignyi,0,0.812,0,0,0,0.188,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus elongatus,0,0.833,0,0,0,0.167,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus escarchadosi,0,0,0,0,0,0.319,0.681,Terrestrial,Terrestrial,Terrestrial
Liolaemus espinozai,0,0,0,0,0,0.223,0.777,Terrestrial,Terrestrial,Terrestrial
Liolaemus fabiani,0,0.534,0,0,0,0.232,0.234,Herbivorous,Herbivorous,Herbivorous
Liolaemus fittkaui,0,0,0,0,0,0.232,0.767,Terrestrial,Terrestrial,Terrestrial
Liolaemus fitzingerii,0,0.518,0,0,0,0.286,0.195,Herbivorous,Herbivorous,Herbivorous
Liolaemus foxi,0.002,0,0.011,0.835,0,0.151,0,Scansorial,Scansorial,Scansorial
Liolaemus fuscus,0,0,0,0,0,0.18,0.82,Terrestrial,Terrestrial,Terrestrial
Liolaemus gallardoi,0,0.533,0,0,0,0.236,0.231,Herbivorous,Herbivorous,Herbivorous
Liolaemus goetschi,0,0,0,0,0,0.267,0.733,Terrestrial,Terrestrial,Terrestrial
Liolaemus gracielae,0,0.547,0,0,0,0.187,0.266,Herbivorous,Herbivorous,Herbivorous
Liolaemus gracilis,0,0,0,0,0,0.202,0.798,Terrestrial,Terrestrial,Terrestrial
Liolaemus grosseorum,0,0,0,0,0,0.194,0.806,Terrestrial,Terrestrial,Terrestrial
Liolaemus gununakuna,0.003,0,0.014,0.785,0,0.198,0,Scansorial,Scansorial,Scansorial
Liolaemus hatcheri,0,0.551,0,0,0,0.172,0.277,Herbivorous,Herbivorous,Herbivorous
Liolaemus heliodermis,0,0.865,0,0,0,0.135,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus huacahuasicus,0,0.548,0,0,0,0.185,0.268,Herbivorous,Herbivorous,Herbivorous
Liolaemus inacayali,0,0,0,0,0,0.269,0.731,Terrestrial,Terrestrial,Terrestrial
Liolaemus irregularis,0,0.534,0,0,0,0.23,0.235,Herbivorous,Herbivorous,Herbivorous
Liolaemus isabelae,0.002,0,0.012,0.824,0,0.162,0,Scansorial,Scansorial,Scansorial
Liolaemus jamesi,0,0.818,0,0,0,0.182,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus juanortizi,0,0.53,0,0,0,0.245,0.225,Herbivorous,Herbivorous,Herbivorous
Liolaemus kingii,0,0.526,0,0,0,0.261,0.213,Herbivorous,Herbivorous,Herbivorous
Liolaemus kolengh,0.001,0,0.005,0.923,0,0.071,0,Scansorial,Scansorial,Scansorial
Liolaemus koslowskyi,0,0,0,0,0,0.292,0.708,Terrestrial,Terrestrial,Terrestrial
Liolaemus kriegi,0,0.78,0,0,0,0.22,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus kuhlmanni,0,0.537,0,0,0,0.222,0.241,Herbivorous,Herbivorous,Herbivorous
Liolaemus laurenti,0,0.551,0,0,0,0.172,0.277,Herbivorous,Herbivorous,Herbivorous
Liolaemus leftrarui,0.002,0,0.011,0.838,0,0.149,0,Scansorial,Scansorial,Scansorial
Liolaemus lemniscatus,0,0,0,0,0,0.194,0.806,Terrestrial,Terrestrial,Terrestrial
Liolaemus leopardinus,0,0.822,0,0,0,0.177,0,Herbivorous,Herbivorous,Herbivorous
Liolaemus lineomaculatus,0,0.556,0,0,0,0.154,0.29,Herbivorous,Herbivorous,Herbivorous
Liolaemus loboi,0,0,0,0,0,0.261,0.738,Terrestrial,Terrestrial,Terrestrial
Liolaemus lutzae,0,0.535,0,0,0,0.228,0.237,Herbivorous,Herbivorous,Herbivorous
Liolaemus magellanicus,0,0.553,0,0,0,0.166,0.281,Herbivorous,Herbivorous,Herbivorous
Liolaemus maldonadae,0,0,0,0,0,0.304,0.696,Terrestrial,Terrestrial,Terrestrial
Liolaemus manueli,0.001,0,0.004,0.932,0,0.062,0,Scansorial,Scansorial,Scansorial
Liolaemus melaniceps,0,0.523,0,0,0,0.27,0.207,Herbivorous,Herbivorous,Herbivorous
